"Perspective","Measure","Initiatives","Good","Warning","Bad"
"Financial","Increase quarterly revenue from new products","Marketing Research, Training of Product developers","≥35%","20-34%","<20%"
"Financial","Increase net income from modified/improved products","Marketing Research, Training of Product developers","≥25%","15-24%","<15%"
"Internal Operations","At least two new products or product modifications that last and turn in quarterly profits for a year","Customer Information System, Marketing","≥2","1","0"
